"ra" "dec" "zspec" "Vel" "flag" "r"
"231" 247.800442 40.421803 0.0269 8073.471 0 15.601
"221" 247.733504 40.442058 0.027 8103.54 0 16.7055
"202" 247.424592 40.274807 0.0271 8122.217 0 17.5323
"150" 246.164757 41.019955 0.0272 8141.494 0 16.0628
"289" 245.846624 41.652776 0.0272 8146.86 0 17.3924
"222" 247.8444 40.550717 0.0272 8147.55 0 16.8342
"325" 245.912347 41.834056 0.0272 8155.044 0 16.249
"151" 246.161615 41.021451 0.0272 8163.019 0 16.8468
"379" 247.281082 39.627383 0.0273 8176.39 0 16.1218
"288" 245.845213 41.65121 0.0273 8176.989 0 14.3325
"229" 247.89388 40.565599 0.0273 8191.109 0 13.7804
"210" 246.702637 41.663665 0.0274 8207.658 0 17.8079
"435" 247.18523 39.51549 0.0274 8208.797 0 14.9903
"62" 247.349132 40.874953 0.0275 8236.618 0 14.0471
"423" 245.095762 40.757028 0.0275 8244.862 0 16.5666
"235" 247.86422 40.435316 0.0276 8280.627 0 17.0014
"112" 247.454342 40.656532 0.0276 8282.696 0 16.4771
"262" 247.432084 40.016491 0.0276 8286.383 0 15.9349
"449" 247.616091 39.561697 0.0277 8291 0 16.0806
"87" 247.319685 40.650524 0.0277 8300.923 0 17.1196
"136" 247.62901 41.016584 0.0277 8302.512 0 16.2857
"298" 245.865858 41.706392 0.0278 8320.32 0 13.9074
"205" 246.526312 41.612182 0.0278 8320.38 0 17.7131
"473" 247.33331 39.428995 0.0278 8322.269 0 14.0567
"369" 248.399406 40.258046 0.0278 8330.573 0 16.164
"179" 246.492762 40.346719 0.0278 8340.406 0 16.7765
"365" 247.687565 39.760027 0.0278 8343.464 0 16.8894
"214" 247.791389 41.313151 0.0279 8351.618 0 17.2054
"234" 246.392878 41.681442 0.0279 8353.897 0 14.6895
"152" 247.321799 40.422332 0.0279 8356.055 0 16.7651
"352" 247.249035 39.683852 0.0279 8361.751 0 14.9346
"169" 247.647633 40.623411 0.0279 8368.467 0 15.2431
"101" 247.256623 40.534842 0.0279 8368.736 0 14.0965
"388" 247.486484 39.66078 0.0279 8372.424 0 17.2718
"373" 247.646328 39.728096 0.028 8385.585 0 17.3732
"255" 248.082474 40.575055 0.028 8387.324 0 14.3827
"246" 247.644049 40.187318 0.028 8387.443 0 15.3172
"286" 245.726488 41.520571 0.028 8405.671 0 15.2113
"142" 247.546064 40.617923 0.0281 8411.157 0 16.0891
"86" 247.448658 40.871984 0.0281 8411.907 0 14.6014
"135" 246.442043 40.510124 0.0281 8413.855 0 16.8725
"282" 247.711786 40.024783 0.0281 8415.654 0 16.7482
"139" 247.567378 40.659771 0.0281 8417.962 0 14.5901
"484" 247.318749 39.401034 0.0281 8429.265 0 14.3524
"463" 246.766561 39.43341 0.0282 8449.62 0 15.7176
"353" 247.168429 39.671278 0.0282 8463.831 0 16.56
"197" 247.317313 40.260167 0.0282 8466.469 0 16.1235
"110" 247.535106 40.80881 0.0282 8468.118 0 16.3385
"355" 247.993942 39.947837 0.0283 8471.655 0 16.674
"60" 247.238786 41.134508 0.0283 8472.015 0 17.4142
"85" 247.443756 40.87486 0.0283 8474.084 0 15.5109
"485" 248.016052 39.608838 0.0283 8475.972 0 16.7343
"96" 247.180742 40.538574 0.0283 8478.101 0 17.3738
"314" 246.932825 39.743833 0.0283 8486.705 0 15.8175
"65" 247.116543 41.22048 0.0283 8490.362 0 16.1428
"167" 247.381411 40.412825 0.0283 8490.932 0 15.0065
"375" 248.022234 39.902205 0.0283 8492.461 0 16.6504
"359" 247.266363 39.66957 0.0283 8495.938 0 16.2102
"424" 247.15024 39.533751 0.0284 8510.358 0 14.9195
"434" 247.85394 39.692958 0.0284 8510.628 0 16.4155
"82" 247.362248 40.722418 0.0284 8510.748 0 14.6666
"254" 248.165821 40.858549 0.0284 8522.89 0 16.1797
"392" 247.394218 39.630197 0.0284 8526.517 0 17.224
"358" 248.507463 41.347916 0.0285 8529.485 0 14.7416
"220" 247.409709 40.235397 0.0285 8534.252 0 16.2079
"64" 246.475417 40.922633 0.0285 8535.241 0 17.0056
"317" 247.879336 39.991811 0.0285 8546.064 0 15.3122
"357" 247.44979 39.716219 0.0285 8548.402 0 15.6798
"414" 245.367303 40.203598 0.0285 8551.31 0 15.6724
"390" 246.788361 39.58664 0.0286 8560.903 0 15.9574
"153" 247.536898 40.569427 0.0286 8562.552 0 17.5041
"36" 246.749414 41.098866 0.0286 8566 0 15.5086
"84" 246.416143 40.80119 0.0286 8566.779 0 16.8512
"469" 247.711311 39.538047 0.0286 8579.97 0 17.2637
"186" 247.710717 40.594852 0.0287 8590.133 0 16.2003
"116" 246.259837 40.946644 0.0287 8597.508 0 13.7985
"364" 247.241658 39.647454 0.0287 8607.761 0 16.1387
"252" 247.47965 40.080691 0.0287 8609.14 0 17.6205
"68" 246.50731 40.74309 0.0288 8628.147 0 15.3358
"72" 246.720399 41.253775 0.0288 8628.627 0 14.2836
"367" 247.189024 39.636382 0.0288 8629.196 0 16.6517
"140" 247.107978 40.381229 0.0288 8633.483 0 17.1514
"396" 248.124298 39.930288 0.0289 8649.852 0 17.5686
"245" 245.744459 40.697655 0.0289 8651.95 0 15.8572
"129" 247.491933 40.628543 0.0289 8652.64 0 13.5694
"47" 247.119253 40.72079 0.0289 8653.06 0 15.5099
"348" 247.403 39.735264 0.0289 8654.319 0 16.6527
"100" 247.150446 40.497508 0.0289 8655.128 0 15.2797
"155" 247.574603 40.602605 0.0289 8658.786 0 17.3164
"67" 247.373981 40.858357 0.0289 8662.623 0 17.2866
"363" 247.761343 39.792512 0.0289 8665.051 0 13.4437
"447" 247.279957 39.495726 0.0289 8667.959 0 14.918
"451" 247.497316 39.528513 0.0289 8669.638 0 15.1944
"23" 247.050424 40.788635 0.0289 8671.617 0 17.1682
"381" 247.831559 39.790498 0.0289 8677.463 0 15.4465
"287" 246.46035 39.890434 0.029 8686.427 0 15.1955
"39" 247.011507 41.141804 0.029 8687.176 0 16.0796
"113" 246.27433 40.928767 0.029 8688.015 0 15.2348
"269" 245.847279 40.301481 0.029 8694.311 0 17.2814
"370" 246.822262 39.619529 0.029 8696.41 0 16.5928
"211" 246.671041 40.180685 0.029 8699.677 0 15.8341
"318" 247.801343 39.946595 0.029 8703.005 0 17.2337
"7" 247.023075 40.868528 0.029 8705.463 0 17.4372
"184" 246.455265 40.345198 0.029 8706.033 0 14.3409
"171" 246.257208 40.526115 0.0291 8713.468 0 15.6442
"301" 246.358704 39.8707 0.0291 8715.416 0 13.2332
"278" 246.854436 39.853781 0.0291 8715.626 0 16.9552
"74" 246.467159 41.057817 0.0291 8718.534 0 16.72
"163" 247.215736 40.351481 0.0291 8718.894 0 14.9583
"311" 248.465133 40.829534 0.0291 8719.913 0 16.5054
"204" 247.638482 41.438592 0.0291 8721.382 0 16.5453
"356" 246.533457 39.684965 0.0291 8726.509 0 17.2376
"95" 247.32392 40.620702 0.0291 8729.567 0 17.385
"92" 246.393426 40.787138 0.0291 8729.926 0 16.7249
"105" 246.301777 40.867138 0.0291 8735.652 0 17.3458
"15" 247.073526 40.967038 0.0291 8736.492 0 14.7339
"417" 248.427346 40.153102 0.0291 8737.271 0 14.9803
"29" 247.022463 40.754612 0.0291 8738.381 0 16.2237
"481" 246.927506 39.377314 0.0291 8738.86 0 15.6901
"19" 246.708562 40.917815 0.0292 8739.34 0 17.1989
"56" 246.688064 40.684218 0.0292 8741.348 0 14.3729
"377" 247.823595 39.793981 0.0292 8741.918 0 15.6957
"31" 246.649442 40.911712 0.0292 8744.496 0 16.9249
"404" 247.097106 39.570302 0.0292 8748.723 0 14.1363
"482" 247.603548 39.464654 0.0292 8748.723 0 17.2005
"20" 246.718798 40.970325 0.0292 8758.557 0 16.928
"14" 247.083805 40.933289 0.0292 8760.565 0 15.4295
"137" 246.458199 40.4887 0.0292 8762.664 0 13.1021
"244" 247.337354 40.063984 0.0292 8763.203 0 17.1274
"111" 247.553295 40.94279 0.0292 8763.773 0 17.0443
"162" 247.608189 40.614255 0.0292 8765.302 0 15.3347
"248" 245.773353 41.231863 0.0292 8766.411 0 15.6251
"321" 246.975463 39.736652 0.0292 8766.621 0 15.4479
"185" 246.062521 41.110615 0.0293 8769.439 0 15.8806
"233" 247.783529 40.388105 0.0293 8769.649 0 15.7952
"69" 246.84594 40.565908 0.0293 8782.78 0 16.2247
"149" 247.599692 40.665707 0.0293 8782.99 0 14.1629
"192" 247.423503 40.333399 0.0293 8783.679 0 15.7607
"212" 246.920784 40.155234 0.0293 8791.594 0 16.5654
"310" 247.684349 39.899908 0.0293 8797.29 0 17.1771
"341" 247.583882 39.804311 0.0294 8803.795 0 14.561
"249" 245.717731 41.071678 0.0294 8804.635 0 16.196
"88" 247.43698 40.81165 0.0294 8805.744 0 12.3227
"144" 247.66574 40.895057 0.0294 8810.121 0 17.7484
"455" 248.141911 39.777862 0.0294 8813.239 0 16.3143
"173" 246.130853 40.684449 0.0294 8820.764 0 16.9682
"238" 247.557662 40.1897 0.0294 8821.633 0 17.5569
"261" 247.18347 39.964479 0.0294 8828.078 0 17.1915
"75" 247.362382 40.771432 0.0295 8829.547 0 16.2952
"237" 248.06576 40.858537 0.0295 8830.237 0 17.3177
"164" 246.132153 40.765568 0.0295 8832.126 0 15.9059
"452" 246.693097 39.470199 0.0295 8833.864 0 16.5953
"439" 246.365777 39.552037 0.0295 8840.52 0 15.3321
"201" 247.313013 40.240957 0.0295 8843.488 0 15.8041
"117" 247.480384 40.659987 0.0295 8845.796 0 15.7742
"260" 245.729445 41.284655 0.0295 8846.546 0 15.817
"257" 245.662063 40.979784 0.0295 8846.815 0 16.8566
"52" 247.08014 41.17285 0.0295 8855 0 17.4121
"154" 247.359456 40.438681 0.0295 8855.839 0 16.8746
"44" 246.591298 40.911854 0.0295 8856.889 0 14.2183
"428" 246.230963 39.619411 0.0295 8858.208 0 17.0942
"131" 247.579365 41.102053 0.0296 8858.957 0 14.0277
"102" 246.4492 40.621676 0.0296 8862.255 0 17.5103
"477" 246.496279 39.420031 0.0296 8869.6 0 16.5308
"25" 246.709111 40.999851 0.0296 8871.129 0 16.7725
"401" 247.948534 39.814244 0.0296 8871.398 0 16.589
"172" 246.302756 41.355534 0.0296 8871.518 0 16.8954
