"Vel" "DistA" "Flag" "r" "Vx" "Vy" "dist"
"45" 7.210083455064e-16 0.186174214724717 -1 16.7762 -0.0673981044231089 -0.122347976196463 0.170619199419723
"262" 7.928656095138e-16 0.261273028036955 1 17.2469 -0.100130251585282 -0.103544140657945 0.155250041944263
"157" 7.608022396122e-16 0.413304073991288 1 15.6993 -0.0463305680983633 -0.0776556379016245 0.127719225056333
"7" 7.054562635878e-16 0.51452271799125 -1 16.8439 -0.0664413906298428 -0.417098315565999 0.465370926358293
"210" 7.781009723196e-16 0.561196152747951 1 18.2163 -0.128891833180964 -0.174036255237418 0.2305876050358
"289" 8.044227171108e-16 0.601393647819669 1 17.6734 -0.1495654271218 -0.388369280774768 0.444257020199212
"285" 8.030236723848e-16 0.60310544941733 1 17.4453 -0.0527273786110051 -0.332698025801675 0.381261349715751
"4" 6.987239320314e-16 0.82612073248621 -1 16.4032 -0.159033876298289 -0.294004635179585 0.354263991884957
"32" 7.152156132954e-16 0.993930740102627 -1 17.3156 -0.00865713491352416 -0.160544144299603 0.216989326683073
"309" 8.16942465999e-16 1.18779202502702 1 17.4525 0.0272685070848365 0.0961937195513031 0.106333447346625
"49" 7.22621832645e-16 1.48799158364009 -1 16.4622 -0.186430944457447 -0.0101156150978149 0.132351968495469
"313" 8.20361488899e-16 1.54145265745939 1 16.601 0.0108135357276968 -0.434284937245785 0.488894021526188
"124" 7.515586924494e-16 1.56298202712624 1 16.461 0.0729565357500222 0.302645713471955 0.290650487934842
"19" 7.110585027504e-16 1.62269346085281 -1 17.4827 -0.217293318926856 -0.260378927093348 0.34301140552315
"193" 7.728922610724e-16 1.79901721441683 1 17.2394 -0.205707657435399 0.0452967298195888 0.138086032446279
"77" 7.36442463033e-16 1.93621141106285 1 17.5089 -0.234041232710695 -0.171835188757577 0.275919503308001
"225" 7.824621223734e-16 1.97645593348561 1 17.9113 0.0564790409344297 -0.283923271515699 0.35462935991031
"229" 7.832330715276e-16 2.0682835132716 1 17.0303 0.0519121816336337 -0.425247134668643 0.488380430375818
"46" 7.210707305214e-16 2.2541362096621 -1 17.3431 0.0987520103497595 -0.0280801198066626 0.183085624426152
"219" 7.801696270092e-16 2.26491786687782 1 17.8822 0.104990384936782 0.0378541576456799 0.172958023591531
"107" 7.461665530542e-16 2.28841393175952 1 16.3279 0.109706785676587 0.0733831645947427 0.179129414999687
"53" 7.25202465759e-16 2.31158413987717 -1 17.5638 -0.25145057573326 -0.0336279101994535 0.201218146568484
"44" 7.206256417962e-16 2.35090497525242 -1 17.288 0.117320814616925 0.107821911967025 0.194324121040075
"200" 7.760074608474e-16 2.36364938574941 1 16.6307 0.11275493658994 0.0403080388545003 0.18058425015389
"16" 7.105613346906e-16 2.88763871269506 -1 16.3074 -0.318777289603271 -0.316239911522769 0.442641282059713
"109" 7.471739495172e-16 2.89575720602685 1 16.909 -0.283418262145778 0.122076955191074 0.228038762836298
"164" 7.624197777258e-16 2.99382542041279 1 16.8342 -0.318129439300604 -0.209257605799177 0.359247984866191
"12" 7.082348435442e-16 3.11083211757209 -1 16.3505 0.187707537642694 0.256126353315732 0.329261562482299
"117" 7.494842367636e-16 3.12826506881323 1 17.4847 -0.319041010473617 -0.0949072567393668 0.28930195593485
"13" 7.084405358508e-16 3.60637282607691 -1 17.8046 -0.342607922527065 0.0641582331891196 0.275412870077222
"26" 7.124764736316e-16 3.63602651837425 -1 16.5828 0.215138525112277 0.100192890444066 0.287519216792496
"38" 7.172863096764e-16 4.00589089111463 -1 17.1949 0.210460606545862 -0.30193946511957 0.447207936071011
"30" 7.132108019718e-16 4.00947748466559 -1 16.0739 0.258285706164242 0.277315291549402 0.398368854314763
"108" 7.468513946838e-16 4.16598097264685 1 17.4307 -0.394491623425374 -0.0456754912467292 0.340072055260212
"143" 7.572547846008e-16 4.556123087763 1 16.9256 0.259275727321713 -0.220737591361178 0.42337744910941
"177" 7.67179478904e-16 4.57401970345883 1 17.5908 -0.412553725203177 0.115062861814564 0.351307846084881
"98" 7.442447056986e-16 4.78800746395751 1 17.7846 0.319279274899274 0.293833446894077 0.458277205091856
"84" 7.396220895144e-16 5.22574346385629 1 17.1477 -0.467922536112819 0.048733318965153 0.400269141897974
"251" 7.898567721384e-16 5.30744842771124 1 17.1441 -0.479379641800402 -0.0145916386849449 0.416497297073077
"236" 7.84851290205e-16 5.39976096540107 1 16.986 0.343952005416903 0.0235247609088978 0.412348884675157
