"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"4927" 12 255.66817 33.521024 17.9142 0.087002 26082.447 0
"4955" 12 255.64176 33.486524 16.4603 0.087037 26093.117 0
"4958" 12 255.18885 33.615349 17.0701 0.08713 26121.055 0
"4826" 12 255.63008 33.859704 17.4701 0.087156 26128.616 0
"4950" 12 255.61473 33.494887 16.3881 0.087461 26220.187 0
"4904" 12 255.67879 33.562325 17.3003 0.087607 26263.963 0
"4948" 12 255.51413 33.505228 16.2802 0.087619 26267.614 0
"4966" 12 255.42558 33.496106 15.5696 0.087648 26276.08 0
"4893" 12 255.68718 33.582347 16.3791 0.087814 26326.065 0
"4838" 12 255.76104 33.799399 16.3969 0.087918 26357.165 0
"4968" 12 256.30737 33.811936 16.0501 0.08798 26375.818 0
"4959" 12 255.61744 33.482348 17.5806 0.08802 26387.846 0
"4908" 12 255.56134 33.560988 17.0726 0.088061 26399.985 0
"4889" 12 255.25561 34.444981 17.4639 0.08828 26465.681 0
"4841" 12 255.63643 33.75672 16.4539 0.088448 26516.067 0
"4906" 12 255.78959 33.575207 16.496 0.088541 26544.005 0
"4899" 12 255.70278 33.573328 16.4231 0.089106 26713.19 0
"4853" 12 256.01099 33.890251 20.7115 0.0893 26771.434 0
"4922" 12 255.68488 33.532862 17.1855 0.089425 26808.794 0
"4916" 12 256.15249 33.74823 17.0659 0.090185 27036.912 0
"4961" 12 255.74691 33.483167 17.6834 0.090313 27075.267 0
"4909" 12 255.63577 33.54767 17.655 0.090465 27120.719 0
"4935" 12 256.32264 34.160981 16.9422 0.090632 27170.658 0
"4925" 12 255.74642 33.530173 17.7472 0.090639 27172.88 0
"4891" 12 256.21723 34.19068 16.3051 0.090815 27225.637 0
"4947" 12 255.88793 33.536936 15.8827 0.090864 27240.456 0
"4882" 12 256.09381 33.816658 17.7499 0.090872 27242.848 0
"4892" 12 256.2257 34.188585 16.7257 0.090974 27273.292 0
"4856" 12 256.00883 33.870569 15.5089 0.091136 27321.742 0
"4905" 12 256.14011 33.766009 17.0845 0.091331 27380.462 0
"4949" 12 255.80864 33.511535 16.9614 0.091397 27399.993 0
"4857" 12 256.01094 33.868835 17.038 0.091412 27404.766 0
"4957" 12 255.88185 33.517078 17.099 0.09142 27407.05 0
"4829" 12 255.56042 34.307278 17.5664 0.091435 27411.616 0
"4956" 12 256.32905 33.907139 17.3803 0.091503 27431.801 0
"4894" 12 255.76723 33.591881 17.607 0.09167 27481.858 0
"4937" 12 255.68813 33.507021 15.5604 0.091783 27515.902 0
"4960" 12 256.29573 34.331161 17.4551 0.091821 27527.192 0
"4858" 12 256.01464 33.872292 16.7591 0.091934 27561.147 0
"4869" 12 256.01923 33.808218 17.3716 0.092385 27696.245 0
"4920" 12 255.56843 33.538857 17.2454 0.092469 27721.503 0
"4806" 12 255.72752 34.207724 16.6538 0.092644 27774.113 0
"4952" 12 255.57143 33.490969 16.0572 0.092791 27818.123 0
"4852" 12 255.92096 33.80572 17.6568 0.093202 27941.167 0
"4765" 12 255.6898 34.06114 15.7573 0.093212 27944.351 0
"4924" 12 255.75048 33.536955 16.7056 0.093812 28124.097 0
"4800" 12 255.7272 34.184197 16.8786 0.09397 28171.602 0
"4801" 12 255.49377 34.113771 16.4642 0.093984 28175.736 0
"4840" 12 255.25954 34.066831 17.6938 0.094346 28284.195 0
"4831" 12 255.8121 33.879817 16.0934 0.094456 28317.151 0
"4953" 12 255.69532 33.489549 17.1638 0.094536 28341.195 0
"4880" 12 256.17518 34.182372 16.8558 0.094547 28344.328 0
"4918" 12 256.07347 34.479089 17.5117 0.094582 28354.859 0
"4809" 12 255.7348 33.940342 17.5082 0.094705 28391.752 0
"4770" 12 255.63544 34.021204 16.9835 0.09483 28429.457 0
"4798" 12 255.51529 34.147059 16.6771 0.094924 28457.478 0
"4814" 12 255.44172 34.004516 16.5247 0.094925 28457.889 0
"4776" 12 255.70611 34.023676 17.0797 0.094929 28458.878 0
"4808" 12 255.8295 34.073004 17.1658 0.094985 28475.835 0
"4779" 12 255.54613 34.075718 17.2629 0.095125 28517.617 0
"4836" 12 255.83692 33.84635 17.5061 0.09514 28522.197 0
"4810" 12 255.45148 34.109309 17.3703 0.095163 28529.069 0
"4766" 12 255.58319 34.082011 17.362 0.095342 28582.917 0
"4767" 12 255.63207 34.028495 17.0855 0.095889 28746.676 0
"4763" 12 255.62964 34.039006 16.8433 0.095907 28752.228 0
"4822" 12 255.40675 34.006093 17.4152 0.095948 28764.493 0
"4790" 12 255.76776 34.094074 16.6897 0.095995 28778.592 0
"4879" 12 255.5124 33.643213 17.3079 0.096063 28798.897 0
"4775" 12 255.70473 34.025805 17.1605 0.096326 28877.703 0
"4878" 12 255.51436 33.645158 16.5382 0.096341 28882.452 0
"4819" 12 255.40764 34.051668 17.3302 0.09647 28920.981 0
"4792" 12 255.73153 34.160821 19.4839 0.096485 28925.553 0
"4786" 12 255.61894 34.168304 16.8799 0.096556 28946.785 0
"4830" 12 255.36068 34.013173 15.7272 0.096658 28977.438 0
"4785" 12 255.5431 34.10484 17.478 0.096894 29048.027 0
"4784" 12 255.60715 33.998284 16.4249 0.096901 29050.315 0
"4797" 12 255.72818 34.176493 17.5287 0.096963 29068.677 0
"4787" 12 255.67891 33.989445 16.9693 0.096972 29071.504 0
"4886" 12 255.07576 34.047102 17.462 0.097017 29084.938 0
"4756" 12 255.68033 34.080416 17.6363 0.097035 29090.241 0
"4851" 12 255.93938 34.334706 17.4327 0.0972 29139.959 0
"4870" 12 255.15436 34.169875 17.559 0.097272 29161.499 0
"4861" 12 255.19953 33.993976 16.2323 0.09737 29190.78 0
"4874" 12 255.1375 34.197817 16.976 0.097501 29230.028 0
"4805" 12 255.81246 34.054954 16.6492 0.097559 29247.584 0
"4762" 12 255.59616 34.08703 17.7318 0.097583 29254.608 0
"4811" 12 255.83343 34.116855 17.1066 0.097866 29339.573 0
"4821" 12 255.65762 33.874275 16.8837 0.097917 29354.787 0
"4823" 12 255.52931 33.891822 17.1524 0.097943 29362.573 0
"4799" 12 255.73464 33.977297 17.7452 0.098034 29389.989 0
"4812" 12 255.48255 33.978366 17.2342 0.09815 29424.741 0
"4855" 12 255.96199 33.826583 17.6901 0.09816 29427.496 0
"4921" 12 256.29726 34.071562 16.4354 0.098284 29464.937 0
"4833" 12 255.71052 33.820484 16.7507 0.098287 29465.737 0
"4850" 12 255.23465 33.971941 17.2054 0.098299 29469.191 0
"4843" 12 255.73884 33.757615 17.4776 0.09835 29484.621 0
"4863" 12 255.70538 34.458716 17.3731 0.098427 29507.618 0
"4842" 12 255.74946 33.761607 17.3763 0.09853 29538.446 0
"4827" 12 255.7977 33.893294 17.7383 0.098658 29577.035 0
"4794" 12 255.56921 33.980566 16.2429 0.098672 29581.013 0
"4791" 12 255.76229 34.12065 17.0791 0.098743 29602.269 0
"4818" 12 255.78517 33.927752 17.1713 0.098883 29644.501 0
"4847" 12 256.01115 33.929145 17.3635 0.09918 29733.497 0
"4757" 12 255.67708 34.060026 14.1516 0.099298 29768.702 0
"4754" 12 255.65077 34.088491 16.8958 0.099617 29864.278 0
"4940" 12 255.55927 33.508469 16.9423 0.099713 29893.151 0
