"clusterID" "ra" "dec" "u" "g" "r" "i" "z" "zspec" "zerrx" "Vel" "Vel_err" "radp" "radmpc" "Voff" "Flag" "run" "camcol" "field" "DR12id" "DR12specObjID" "lgm_tot_p50" "sfr_tot_p50" "specsfr_tot_p50" "d4000_n"
"1" 1 10.422109 -9.315883 0 0 16.2161 0 0 0.047547 0 14254.169 0 1.7e-05 6.6e-05 -2264.395 0 1740 5 91 "1237652948530167814" "738687681705306112" 10.65461 -0.8916382 -11.59213 1.922008
"2" 1 10.400877 -9.325098 0 0 16.3373 0 0 0.054516 0 16343.438 0 0.022904 0.088351 -175.127 0 1666 5 260 "1237652630713663680" "738684383170422784" 10.61529 -1.853074 -12.56369 1.929987
"3" 1 10.436633 -9.338195 0 0 16.9102 0 0 0.046343 0 13893.351 0 0.026523 0.102312 -2625.214 0 1666 5 260 "1237652630713663573" "737603563475200000" 10.03457 -1.867226 -11.9645 1.818844
"4" 1 10.459907 -9.327162 0 0 17.6462 0 0 0.059381 0 17802.123 0 0.038961 0.150288 1283.558 0 1666 5 261 "1237652630713729131" "737602463963572224" 10.06979 -1.901377 -11.99554 2.020378
"5" 1 10.460272 -9.303146 0 0 18.2843 0 0 0.055359 0 16596.142 0 0.039741 0.153297 77.577 0 1740 5 91 "1237652948530167954" "738697577309956096" 11.76596 -0.9525536 -12.75579 1.845876
"6" 1 10.419857 -9.275466 0 0 17.4994 0 0 0.054811 0 16431.825 0 0.040466 0.156094 -86.739 0 1740 5 91 "1237652948530167939" "737606587132176384" 10.03949 -1.983322 -12.04063 1.941562
"7" 1 10.42694 -9.357226 0 0 18.0309 0 0 0.049117 0 14725.029 0 0.041629 0.16058 -1793.535 0 1666 5 260 "1237652630713663540" "738687406827399168" 9.394504 -1.284752 -10.75531 1.345127
"8" 1 10.450944 -9.28422 0 0 15.3892 0 0 0.052848 0 15843.582 0 0.042553 0.164145 -674.983 0 1740 5 91 "1237652948530167946" "738699776333211648" 10.9608 -1.3028 -12.2816 2.007406
"9" 1 10.382996 -9.334012 0 0 15.4866 0 0 0.045939 0 13772.217 0 0.042658 0.16455 -2746.348 1 1666 5 260 "1237652630713663647" "737603838353106944" 10.49736 -0.9586084 -11.51693 1.724166
"10" 1 10.379095 -9.298353 0 0 17.3498 0 0 0.057008 0 17090.431 0 0.045929 0.177169 571.866 0 1740 5 90 "1237652948530102521" "737605212742641664" 10.06298 -1.792813 -11.93023 1.838865
"11" 1 10.395584 -9.360694 0 0 17.0761 0 0 0.057006 0 17090.047 0 0.051912 0.200247 571.482 0 1666 5 260 "1237652630713663656" "737604662986827776" 10.28299 -1.604787 -11.93901 2.027989
"12" 1 10.376944 -9.359103 0 0 16.6919 0 0 0.054505 0 16340.062 0 0.0621 0.239548 -178.502 0 1666 5 260 "1237652630713663639" "737598065917061120" 10.3284 -1.473635 -11.83789 1.943131
"13" 1 10.470158 -9.358414 0 0 16.8496 0 0 0.061044 0 18300.444 0 0.063696 0.245703 1781.879 0 1666 5 261 "1237652630713729157" "737604388108920832" 10.43263 -1.728117 -12.22474 1.893634
"14" 1 10.49078 -9.315333 0 0 17.5678 0 0 0.050404 0 15110.7 0 0.067757 0.261366 -1407.864 0 1740 5 91 "1237652948530168065" "737602738841479168" 9.828167 -1.872003 -11.77371 1.79435
"15" 1 10.388627 -9.249062 0 0 15.8453 0 0 0.058519 0 17543.477 0 0.074537 0.287521 1024.912 0 1740 5 90 "1237652948530102535" "738686032437864448" 10.75922 -1.676623 -12.47245 1.968018
"16" 1 10.444937 -9.386935 0 0 15.9675 0 0 0.058857 0 17644.852 0 0.074547 0.287558 1126.287 0 1666 5 260 "1237652630713663771" "737606312254269440" 10.7946 -1.336014 -12.20969 1.995518
"17" 1 10.489792 -9.281998 0 0 17.2996 0 0 0.057186 0 17144.048 0 0.074878 0.288838 625.484 0 1740 5 91 "1237652948530168061" "737607411765897216" 10.09996 -1.491986 -11.63915 1.95095
"18" 1 10.364186 -9.266249 0 0 17.7948 0 0 0.048104 0 14421.09 0 0.075701 0.292012 -2097.474 0 1740 5 90 "1237652948530102493" "738684658048329728" 9.109955 -0.2308014 -9.399098 1.146098
"19" 1 10.344204 -9.309621 0 0 17.441 0 0 0.05881 0 17630.878 0 0.077142 0.297569 1112.314 0 1740 5 90 "1237652948530102487" "737597516161247232" 10.057 -1.205621 -11.31203 1.767196
"20" 1 10.340568 -9.328647 0 0 17.1153 0 0 0.054152 0 16234.331 0 0.081484 0.31432 -284.233 0 1666 5 260 "1237652630713663612" "737597791039154176" 10.18829 -1.962797 -12.20231 2.020133
"21" 1 10.484742 -9.382424 0 0 17.4022 0 0 0.059298 0 17777.075 0 0.090819 0.350329 1258.511 0 1666 5 261 "1237652630713729162" "738697027554142208" 10.11359 -2.092027 -12.20064 1.855466
"22" 1 10.376794 -9.235214 0 0 15.2428 0 0 0.054888 0 16455.041 0 0.092228 0.355762 -63.523 0 1740 5 90 "1237652948530102500" "737601364451944448" 11.06438 -1.55344 -12.68802 2.073771
"23" 1 10.332875 -9.283908 0 0 17.7237 0 0 0.055434 0 16618.653 0 0.093689 0.361397 100.089 0 1740 5 90 "1237652948530102470" "737598340794968064" 9.870878 -1.560452 -11.46482 1.855683
"24" 1 10.366068 -9.391587 0 0 17.3548 0 0 0.04931 0 14782.766 0 0.093769 0.361706 -1735.798 0 1666 5 260 "1237652630713663514" "737598615672875008" 9.650928 -0.9780299 -10.67609 1.385659
"25" 1 10.404936 -9.221006 0 0 16.4744 0 0 0.058652 0 17583.463 0 0.096368 0.371732 1064.899 0 1740 5 91 "1237652948530167918" "738686307315771392" 10.42258 -0.9426789 -11.44598 1.850497
"26" 1 10.414264 -9.414594 0 0 16.2152 0 0 0.059867 0 17947.609 0 0.099028 0.381994 1429.045 0 1666 5 260 "1237652630713663704" "738689056094840832" 10.60421 -1.094799 -11.78088 1.927549
"27" 1 10.362862 -9.228478 0 0 16.1378 0 0 0.047306 0 14181.853 0 0.105152 0.405615 -2336.711 0 1740 5 90 "1237652948530102503" "737600539818223616" 10.24151 0.2364642 -10.06071 1.298678
"28" 1 10.431473 -9.425142 0 0 17.3055 0 0 0.056408 0 16910.681 0 0.109661 0.423011 392.117 0 1666 5 260 "1237652630713663767" "738697302432049152" 10.09056 -2.048731 -12.19314 1.730736
"29" 1 10.331936 -9.245389 0 0 16.9423 0 0 0.051076 0 15312.346 0 0.113524 0.437909 -1206.218 0 1740 5 90 "1237652948530102467" "737596691527526400" 10.15309 -1.620357 -11.83046 1.911297
"30" 1 10.509081 -9.241041 0 0 17.5251 0 0 0.05347 0 16030.044 0 0.113857 0.439194 -488.521 0 1740 5 91 "1237652948530168078" "737602189085665280" 9.960328 -2.089512 -12.09097 1.784914
"31" 1 10.329168 -9.389885 0 0 17.32 0 0 0.049746 0 14913.374 0 0.117864 0.454651 -1605.191 0 1666 5 260 "1237652630713663597" "738686857071585280" 9.419568 -0.347182 -9.824259 1.204367
"32" 1 10.459036 -9.429856 0 0 14.7661 0 0 0.057789 0 17324.772 0 0.119666 0.461603 806.208 0 1666 5 261 "1237652630713729103" "737604113231013888" 11.23844 -1.108553 -12.38698 1.974444
"33" 1 10.301354 -9.343216 0 0 17.4914 0 0 0.055936 0 16769.233 0 0.12227 0.471649 250.668 0 1666 5 260 "1237652630713663586" "737601914207758336" 10.00246 -1.784855 -11.85544 1.889948
"34" 1 10.42242 -9.439327 0 0 17.4082 0 0 0.054296 0 16277.462 0 0.123457 0.476226 -241.102 0 1666 5 260 "1237652630713663710" "737605762498455552" 10.13143 -1.027631 -11.2227 1.870016
"35" 1 10.441032 -9.443005 0 0 17.8416 0 0 0.05323 0 15958.03 0 0.128497 0.495669 -560.534 0 1666 5 260 "1237652630713663712" "737606037376362496" 9.805634 -1.890661 -11.74356 1.758776
"36" 1 10.477273 -9.432785 0 0 17.7702 0 0 0.057203 0 17149.157 0 0.128962 0.497463 630.592 0 1666 5 261 "1237652630713729036" "738696752676235264" 9.923879 -1.940404 -11.915 1.48028
"37" 1 10.379701 -9.193145 0 0 17.553 0 0 0.053827 0 16136.968 0 0.129668 0.500184 -381.597 0 1740 5 90 "1237652948530102531" "738682459025074176" 9.922896 -1.610025 -11.60922 1.733027
"38" 1 10.400015 -9.187322 0 0 16.4977 0 0 0.055509 0 16641.156 0 0.130385 0.502952 122.591 0 1740 5 91 "1237652948530167911" "738683008780888064" 10.42789 -1.516137 -11.96402 1.885238
"39" 1 10.554091 -9.297404 0 0 15.7508 0 0 0.06615 0 19831.307 0 0.131533 0.507379 3312.743 1 1740 5 92 "1237652948530233348" "737615383225198592" 10.98211 -1.156743 -12.21228 1.992346
"40" 1 10.530691 -9.238464 0 0 17.0831 0 0 0.055626 0 16676.315 0 0.132176 0.509858 157.751 0 1740 5 91 "1237652948530168091" "737615108347291648" 10.14177 -1.589553 -11.81167 1.802759
"41" 1 10.331441 -9.4191 0 0 16.2924 0 0 0.054644 0 16381.817 0 0.136615 0.526981 -136.747 0 1666 5 260 "1237652630713663600" "738687131949492224" 10.48384 -1.666348 -12.18472 1.872827
"42" 1 10.502242 -9.200731 0 0 16.9536 0 0 0.059502 0 17838.164 0 0.139672 0.538776 1319.599 0 1740 5 91 "1237652948530168074" "737603288597293056" 10.21836 -1.382782 -11.66101 1.777511
"43" 1 10.418121 -9.171693 0 0 16.504 0 0 0.054602 0 16369.388 0 0.144231 0.556362 -149.177 0 1740 5 91 "1237652948530167935" "738679160490190848" 10.41469 -1.577755 -12.01024 1.870779
"44" 1 10.277194 -9.296952 0 0 15.8672 0 0 0.058226 0 17455.602 0 0.14426 0.556474 937.037 0 1740 5 90 "1237652948530102413" "737600264940316672" 10.73292 -1.220655 -11.98361 1.905931
"45" 1 10.450289 -9.458465 0 0 17.069 0 0 0.057294 0 17176.408 0 0.145279 0.560404 657.844 0 1666 5 261 "1237652630713729094" "737604937864734720" 10.24831 -1.325222 -11.60974 1.926865
"46" 1 10.412372 -9.463347 0 0 17.4874 0 0 0.057106 0 17120.056 0 0.147791 0.570092 601.492 0 1666 5 260 "1237652630713663696" "738684108292515840" 10.01163 -1.419896 -11.49333 1.714342
"47" 1 10.441041 -9.16243 0 0 16.1463 0 0 0.051584 0 15464.602 0 0.154572 0.596251 -1053.962 0 1740 5 91 "1237652948530168033" "738678885612283904" 10.52734 -1.404846 -11.991 1.888945
"48" 1 10.459776 -9.471745 0 0 17.4075 0 0 0.057336 0 17188.927 0 0.160243 0.618126 670.363 0 1666 5 261 "1237652630713729124" "738698676821583872" 10.09535 -1.674768 -11.8533 1.808364
