"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag" "lgm_tot_p50"
"1" 1 10.422109 -9.315883 16.2161 0.047547 14254.169 0 10.65461
"2" 1 10.400877 -9.325098 16.3373 0.054516 16343.438 0 10.61529
"3" 1 10.436633 -9.338195 16.9102 0.046343 13893.351 0 10.03457
"4" 1 10.459907 -9.327162 17.6462 0.059381 17802.123 0 10.06979
"5" 1 10.460272 -9.303146 18.2843 0.055359 16596.142 0 11.76596
"6" 1 10.419857 -9.275466 17.4994 0.054811 16431.825 0 10.03949
"7" 1 10.42694 -9.357226 18.0309 0.049117 14725.029 0 9.394504
"8" 1 10.450944 -9.28422 15.3892 0.052848 15843.582 0 10.9608
"9" 1 10.382996 -9.334012 15.4866 0.045939 13772.217 1 10.49736
"10" 1 10.379095 -9.298353 17.3498 0.057008 17090.431 0 10.06298
"11" 1 10.395584 -9.360694 17.0761 0.057006 17090.047 0 10.28299
"12" 1 10.376944 -9.359103 16.6919 0.054505 16340.062 0 10.3284
"13" 1 10.470158 -9.358414 16.8496 0.061044 18300.444 0 10.43263
"14" 1 10.49078 -9.315333 17.5678 0.050404 15110.7 0 9.828167
"15" 1 10.388627 -9.249062 15.8453 0.058519 17543.477 0 10.75922
"16" 1 10.444937 -9.386935 15.9675 0.058857 17644.852 0 10.7946
"17" 1 10.489792 -9.281998 17.2996 0.057186 17144.048 0 10.09996
"18" 1 10.364186 -9.266249 17.7948 0.048104 14421.09 0 9.109955
"19" 1 10.344204 -9.309621 17.441 0.05881 17630.878 0 10.057
"20" 1 10.340568 -9.328647 17.1153 0.054152 16234.331 0 10.18829
"21" 1 10.484742 -9.382424 17.4022 0.059298 17777.075 0 10.11359
"22" 1 10.376794 -9.235214 15.2428 0.054888 16455.041 0 11.06438
"23" 1 10.332875 -9.283908 17.7237 0.055434 16618.653 0 9.870878
"24" 1 10.366068 -9.391587 17.3548 0.04931 14782.766 0 9.650928
"25" 1 10.404936 -9.221006 16.4744 0.058652 17583.463 0 10.42258
"26" 1 10.414264 -9.414594 16.2152 0.059867 17947.609 0 10.60421
"27" 1 10.362862 -9.228478 16.1378 0.047306 14181.853 0 10.24151
"28" 1 10.431473 -9.425142 17.3055 0.056408 16910.681 0 10.09056
"29" 1 10.331936 -9.245389 16.9423 0.051076 15312.346 0 10.15309
"30" 1 10.509081 -9.241041 17.5251 0.05347 16030.044 0 9.960328
"31" 1 10.329168 -9.389885 17.32 0.049746 14913.374 0 9.419568
"32" 1 10.459036 -9.429856 14.7661 0.057789 17324.772 0 11.23844
"33" 1 10.301354 -9.343216 17.4914 0.055936 16769.233 0 10.00246
"34" 1 10.42242 -9.439327 17.4082 0.054296 16277.462 0 10.13143
"35" 1 10.441032 -9.443005 17.8416 0.05323 15958.03 0 9.805634
"36" 1 10.477273 -9.432785 17.7702 0.057203 17149.157 0 9.923879
"37" 1 10.379701 -9.193145 17.553 0.053827 16136.968 0 9.922896
"38" 1 10.400015 -9.187322 16.4977 0.055509 16641.156 0 10.42789
"39" 1 10.554091 -9.297404 15.7508 0.06615 19831.307 1 10.98211
"40" 1 10.530691 -9.238464 17.0831 0.055626 16676.315 0 10.14177
"41" 1 10.331441 -9.4191 16.2924 0.054644 16381.817 0 10.48384
"42" 1 10.502242 -9.200731 16.9536 0.059502 17838.164 0 10.21836
"43" 1 10.418121 -9.171693 16.504 0.054602 16369.388 0 10.41469
"44" 1 10.277194 -9.296952 15.8672 0.058226 17455.602 0 10.73292
"45" 1 10.450289 -9.458465 17.069 0.057294 17176.408 0 10.24831
"46" 1 10.412372 -9.463347 17.4874 0.057106 17120.056 0 10.01163
"47" 1 10.441041 -9.16243 16.1463 0.051584 15464.602 0 10.52734
"48" 1 10.459776 -9.471745 17.4075 0.057336 17188.927 0 10.09535
"49" 1 10.389223 -9.156508 15.6077 0.060489 18134.029 0 10.85802
"50" 1 10.583163 -9.355244 16.6818 0.056337 16889.522 0 10.42452
"51" 1 10.537676 -9.433756 17.201 0.058613 17571.69 0 10.11852
"52" 1 10.578148 -9.257902 15.6801 0.055758 16715.975 0 10.86938
"53" 1 10.579993 -9.387726 16.3902 0.058084 17413.061 0 10.49714
"54" 1 10.513617 -9.471081 16.0053 0.052165 15638.71 0 10.5367
"55" 1 10.446792 -9.13707 16.572 0.055246 16562.355 0 10.51797
"56" 1 10.600917 -9.271266 16.3149 0.060557 18154.412 0 10.32966
"57" 1 10.563766 -9.43933 17.7397 0.055341 16590.934 0 9.919279
"58" 1 10.47293 -9.495551 15.1519 0.050945 15273.077 0 10.16323
"59" 1 10.298589 -9.171442 16.2012 0.053796 16127.704 0 10.558
"60" 1 10.300908 -9.169536 15.1744 0.055933 16768.381 0 10.99153
"61" 1 10.548955 -9.459127 17.3513 0.05702 17094.277 0 10.10529
"62" 1 10.582872 -9.424321 17.3554 0.051139 15331.018 0 9.5902
"63" 1 10.510398 -9.144565 17.1328 0.056024 16795.663 0 10.16857
"64" 1 10.279569 -9.448161 17.6178 0.047372 14201.744 1 9.82411
"65" 1 10.531706 -9.476544 16.8993 0.056977 17081.2 0 10.19433
"66" 1 10.257818 -9.209217 15.4212 0.053919 16164.525 0 10.91746
"67" 1 10.326644 -9.486612 16.685 0.057982 17382.563 0 10.375
"68" 1 10.303778 -9.150124 16.0426 0.053093 15916.842 0 10.55539
"69" 1 10.519854 -9.132449 17.5299 0.053111 15922.148 0 9.890899
"70" 1 10.603558 -9.20539 17.626 0.055536 16649.37 0 9.904667
"71" 1 10.428763 -9.104251 17.251 0.053388 16005.365 0 10.03404
"72" 1 10.614165 -9.424648 16.9963 0.056736 17009.163 0 10.27448
"73" 1 10.571967 -9.47997 16.4648 0.052834 15839.265 0 9.971874
"74" 1 10.466301 -9.532907 16.6869 0.055854 16744.65 0 10.39402
"75" 1 10.396092 -9.093323 17.7111 0.05941 17810.715 0 9.96427
"76" 1 10.546041 -9.508399 16.4893 0.054748 16412.963 0 10.41118
"77" 1 10.210066 -9.223122 16.4718 0.053964 16177.874 0 10.42294
"78" 1 10.405188 -9.548182 16.628 0.059269 17768.336 0 10.39727
"79" 1 10.663325 -9.335324 17.2047 0.053603 16069.904 0 10.03448
