"Vel" "DistA" "Flag" "Vx" "Vy"
"24" 24158.266 0.0781571044259575 -1 -1.52332397146743 -1.73741972592862
"39" 24801.89 0.0963275965482189 1 0.0530765066277041 0.0665031112714664
"23" 24148.492 0.108432327598714 -1 1.05791066414899 0.979251222316458
"32" 24448.734 0.123860886291916 -1 -0.0177046254697471 -0.254929311520119
"19" 24068.748 0.249572665220139 -1 -0.149396378516953 0.00532386758695862
"14" 23973.294 0.265403110129104 -1 0.227542773963313 -0.132515797405244
"21" 24108.5 0.272210754891124 -1 -1.09782550934869 -1.04319889537747
"13" 23946.342 0.274457048086628 -1 -0.410376982777631 -0.262753476774827
"31" 24372.287 0.275070770951215 -1 -0.09589930723376 0.0938126208156567
"28" 24310.47 0.286013437370249 -1 -1.31231843151097 -1.27081196544436
"42" 24960.031 0.384028630106348 1 0.109356228184952 0.445519021454484
"1" 23699.223 0.391859275101437 -1 -1.23017882839219 -1.92081270138256
"36" 24697.232 0.396741672652882 1 1.58004836066546 1.2541618636944
"15" 23999.286 0.501998081295373 -1 -0.177365080317159 0.25033352270233
"17" 24036.55 0.522358224979003 -1 0.380183429518357 0.903624510213571
"27" 24260.765 0.581907831555395 -1 -0.872734573323424 -1.72458995216215
"22" 24110.119 0.598657598728435 -1 0.429245485465845 -0.269500973977443
"44" 25219.651 0.608787131273729 1 -0.14578883601482 0.403110541946658
"7" 23870.885 0.656814650050639 -1 -0.304739808414458 0.275865025543853
"16" 24015.235 0.685729890210918 -1 -1.86177802037513 -1.45453897810438
"41" 24911.404 0.689715071878756 1 0.457125620927088 -0.337749359260086
"37" 24716.509 0.720938700001175 1 0.0399179420435027 0.736194022019323
"11" 23916.153 0.759152608679212 -1 0.039811082546152 -0.886127481410232
"8" 23888.332 0.814197593863914 -1 0.430656729617634 -0.504138692674626
"43" 24973.761 1.046350879316 1 -0.538587905896411 0.438156931707412
"20" 24105.682 1.10233886200602 -1 -0.598523402457547 0.431691713108547
"12" 23941.755 1.10978976336191 -1 0.0177036343558456 -1.29544959189813
"6" 23808.228 1.1688718002463 -1 0.10164675301466 -1.26520614511509
"4" 23739.426 1.2028255874612 -1 2.14239664299851 1.00709060660981
"25" 24232.134 1.29136457649423 -1 -0.414163681862229 -1.98320105713996
"18" 24053.098 1.33583861544552 -1 -0.476410755495927 0.825805195309314
"26" 24246.135 1.3570768594604 -1 1.38230585520356 -0.0221634044339789
"38" 24781.744 1.36000463207556 1 0.394573895306967 1.83798221952781
"40" 24845.03 1.40571548758619 1 -0.44163767493381 0.941743806552134
"10" 23904.641 1.4940632019697 -1 -1.64490088714132 -0.323155268713158
"35" 24685.87 1.58612278847426 1 1.65709798161296 0.0377805165706441
"34" 24681.973 1.69121020885656 1 0.185434484075865 1.96430566943871
"2" 23729.412 1.92780539380516 -1 -0.385045045681402 1.5780072837327
"33" 24661.947 2.03649484390238 1 2.05508010823618 -0.00543830557821586
"3" 23732.77 2.11920383561523 -1 -1.54657222091255 0.473285781537265
"30" 24359.216 2.22716032916881 -1 0.902477589065338 -1.51880715604788
"5" 23803.281 2.58033312594722 -1 1.95839821264715 -0.710907207157766
"9" 23896.936 2.58870126304038 -1 1.60173210281879 -1.12371677556081
"29" 24334.663 3.02582421791676 -1 -1.64542468728337 1.35508323377537
